Department,Discipline,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,SP,W,EW,TotalCount
Art,AHIS,AHIS    1,1072,MIHAYLOVICH K W,24.0,2.0,7.0,2.0,4.0,,,,,,6.0,45
,,,1073,MENDOZA B,28.0,5.0,3.0,1.0,2.0,,,,,,5.0,44
,,,1074,MEDVEDEV N,34.0,8.0,3.0,,4.0,,,,,,4.0,53
,,,1075,SIMMONS B B,32.0,2.0,3.0,1.0,3.0,,,,,,1.0,42
,,,1076,SIMMONS B B,29.0,4.0,6.0,,4.0,,,,,,2.0,45
,,,1077,HESSER M,14.0,7.0,2.0,6.0,7.0,,,,,,5.0,41
,,,1078,LEAPER L E,7.0,11.0,3.0,2.0,10.0,,,,,,7.0,40
,,,1079,WASHINGTON T L,19.0,7.0,6.0,1.0,8.0,,1.0,,,,3.0,45
,,,1080,BLACKWOOD K,18.0,6.0,6.0,2.0,9.0,,,,,,,41
,,,1081,MEYER W J,51.0,5.0,,5.0,10.0,,,,,,13.0,84
,,,1082,MEYER W J,54.0,6.0,,3.0,12.0,1.0,,,,,6.0,82
,,,1083,LEZO A L,28.0,,1.0,1.0,5.0,,,2.0,,,6.0,43
,,,1084,MENDOZA B,30.0,4.0,4.0,1.0,2.0,,,,,,1.0,42
,,,1085,MAJSTOROVIC M,29.0,3.0,,,2.0,,,,,,4.0,38
,,,1086,GREINER KA,8.0,4.0,,2.0,16.0,,,,,,9.0,39
,,,1087,MAJSTOROVIC M,30.0,4.0,1.0,,5.0,,,,,,2.0,42
,,,3663,BLACKWOOD K,10.0,6.0,5.0,1.0,4.0,,,,,,4.0,30
,,,3701,WASHINGTON T L,15.0,7.0,2.0,,10.0,1.0,,,,,9.0,44
,,,3710,MEDVEDEV N,22.0,4.0,3.0,,12.0,1.0,1.0,,,,1.0,44
,,AHIS    2,1088,MIHAYLOVICH K W,14.0,5.0,3.0,,4.0,,,,,,4.0,30
,,,1089,MEDVEDEV N,27.0,5.0,3.0,,1.0,,,,,,9.0,45
,,,1090,DONAHUE N J,35.0,5.0,,,2.0,,,,,,2.0,44
,,,1091,WACKS D E,6.0,11.0,4.0,1.0,3.0,,,,,,8.0,33
,,,1092,DONAHUE N J,31.0,3.0,,,5.0,,,,,,3.0,42
,,,1094,MEYER W J,17.0,,,2.0,3.0,,,,,,3.0,25
,,,1095,DONAHUE N J,21.0,3.0,,,9.0,,,,,,4.0,37
,,,3675,DONAHUE N J,29.0,,4.0,,4.0,,,,,,2.0,39
,,,3702,MAJSTOROVIC M,20.0,5.0,2.0,1.0,6.0,,,,,,5.0,39
,,AHIS    3,1098,DONAHUE N J,36.0,,,1.0,4.0,,,,,,4.0,45
,,,1099,DONAHUE N J,32.0,2.0,,,6.0,,,,,,3.0,43
,,AHIS    5,1100,SIMMONS B B,22.0,5.0,2.0,1.0,13.0,1.0,,,,,4.0,48
,,,3586,SIMMONS B B,24.0,4.0,3.0,,11.0,,,,,,5.0,47
,,AHIS    6,1103,RODRIGUEZ K,15.0,5.0,4.0,3.0,10.0,,,,,,4.0,41
,,AHIS   11,1104,RODRIGUEZ K,30.0,5.0,,1.0,5.0,,,,,,,41
,,,1105,THAYER J,20.0,5.0,4.0,1.0,2.0,,,,,,4.0,36
,,,1107,AHMADPOUR A,9.0,3.0,6.0,8.0,5.0,,,2.0,,,4.0,37
,,,1108,RODRIGUEZ K,23.0,6.0,2.0,,8.0,,,,,,3.0,42
,,,1109,RODRIGUEZ K,22.0,3.0,3.0,1.0,6.0,,,,,,4.0,39
,,AHIS   17,1110,LEE O,18.0,1.0,2.0,1.0,3.0,,,,,,6.0,31
,,,3587,LEE O,10.0,8.0,1.0,2.0,13.0,,1.0,,,,3.0,38
,,AHIS   18,1111,SIMMONS B B,36.0,3.0,3.0,1.0,8.0,,,,,,1.0,52
,,,1112,SIMMONS B B,18.0,6.0,1.0,3.0,11.0,,,,,,2.0,41
,,,3588,SIMMONS B B,22.0,2.0,3.0,1.0,13.0,1.0,,,,,3.0,45
,,,3681,RODRIGUEZ K,18.0,5.0,3.0,2.0,6.0,,,,,,7.0,41
,,AHIS   21,1113,ROCCHIO M P,31.0,4.0,1.0,1.0,3.0,1.0,,,,,2.0,43
,,,3543,ROCCHIO M P,16.0,4.0,4.0,1.0,8.0,,,,,,7.0,40
,,AHIS   22,1114,ROCCHIO M P,32.0,6.0,2.0,1.0,1.0,1.0,,1.0,,,4.0,48
,,AHIS   52,1115,DASTIN E R,5.0,,,,,,,,,,,5
,,,1116,DASTIN E R,4.0,2.0,,1.0,2.0,,,,,,2.0,11
,,AHIS   72,1117,RODRIGUEZ K,23.0,2.0,2.0,1.0,5.0,,,,,,3.0,36
,,,1118,RODRIGUEZ K,16.0,3.0,4.0,1.0,5.0,,,,,,4.0,33
,,AHIS   90A,1119,MEYER W J,1.0,,,,,,,,,,,1
,ART,ART    10A,1185,MITCHELL R,14.0,,1.0,1.0,5.0,,,2.0,,,5.0,28
,,,1186,GARCIA K F,15.0,7.0,1.0,,1.0,,,,,,6.0,30
,,,1188,MITCHELL R,9.0,2.0,3.0,1.0,7.0,,,1.0,,,8.0,31
,,,1189,MIYANO E,10.0,2.0,4.0,,6.0,,,,,,8.0,30
,,,1190,WHEAT N R,23.0,2.0,1.0,,1.0,1.0,,,,,2.0,30
,,,1191,WHEAT N R,16.0,2.0,,,3.0,,,,,,2.0,23
,,,1192,KARLSEN A M,13.0,1.0,2.0,,3.0,,,,,,8.0,27
,,,1193,KARLSEN A M,9.0,2.0,3.0,,5.0,,,,,,7.0,26
,,,1194,KARLSEN A M,6.0,,7.0,,6.0,,,,,,8.0,27
,,,1195,ARUTIAN C L,7.0,2.0,1.0,5.0,4.0,,1.0,,,,4.0,24
,,,1196,SHIBATA J M,11.0,4.0,,,1.0,,,,,1.0,8.0,25
,,,1197,GONZALES L,10.0,,2.0,2.0,7.0,,,,,,4.0,25
,,,3665,GARCIA K F,4.0,2.0,1.0,,10.0,,1.0,,,,4.0,22
,,,3676,JAMES N M,7.0,2.0,6.0,2.0,2.0,,,,,,3.0,22
,,,3697,ARUTIAN C L,4.0,4.0,2.0,1.0,1.0,,,,,,5.0,17
,,ART    10B,1198,MIYANO E,15.0,5.0,1.0,3.0,,,,,,,2.0,26
,,,1199,BADGER C P,12.0,1.0,1.0,,4.0,,,,,,1.0,19
,,,1200,BADGER C P,16.0,1.0,1.0,,4.0,,,,,,2.0,24
,,,1201,BADGER C P,15.0,1.0,2.0,,1.0,1.0,,,,,1.0,21
,,ART    10C,1202,BADGER C P,13.0,4.0,1.0,,3.0,,,,,,3.0,24
,,ART    13,1203,HATTON C,11.0,2.0,3.0,,3.0,,,,,,3.0,22
,,,1204,BROMBERG T L,16.0,6.0,1.0,1.0,1.0,,,,,,5.0,30
,,,3536,SILVER E M,16.0,1.0,,,1.0,,,,,,2.0,20
,,ART    17A,1207,JOLLER G,11.0,,,,2.0,,,,,,1.0,14
,,ART    20A,1208,BURCHMAN J H,6.0,7.0,,,,,,,,,6.0,19
,,,1209,OTA N T,10.0,8.0,,,5.0,,,,,,4.0,27
,,,1211,HATTON C,11.0,5.0,2.0,,4.0,,,,,,4.0,26
,,,1212,ZARCONE J,5.0,4.0,4.0,1.0,6.0,1.0,,,,,1.0,22
,,,1213,BURCHMAN J H,11.0,5.0,,,,,,,,,5.0,21
,,,1214,FRANTZ R,19.0,2.0,2.0,,2.0,,,,,,,25
,,,1215,MAMMARELLA C J,4.0,5.0,1.0,1.0,3.0,,,,,,10.0,24
,,,1216,VICICH G M,5.0,5.0,2.0,,4.0,1.0,,,,,5.0,22
,,,1217,HATTON C,11.0,6.0,2.0,1.0,2.0,,,,,,5.0,27
,,,1218,VICICH G M,7.0,2.0,,,5.0,,,,,,8.0,22
,,,3664,SILVER E M,14.0,2.0,1.0,2.0,3.0,,,,,,1.0,23
,,,3691,SILVER E M,8.0,1.0,2.0,,5.0,,,,,,5.0,21
,,,3698,SIMON D L,5.0,4.0,3.0,,1.0,,,1.0,,,7.0,21
,,,3707,FRANTZ R,5.0,1.0,6.0,1.0,6.0,,,,,,8.0,27
,,ART    20B,1219,MAMMARELLA C J,11.0,5.0,3.0,1.0,3.0,,,,,,2.0,25
,,,1220,HATTON C,12.0,4.0,1.0,,,,,,,,7.0,24
,,,1221,KARLSEN A M,10.0,4.0,,,4.0,,,,,1.0,8.0,27
,,ART    21A,1222,TRUJILLO M E,10.0,6.0,3.0,2.0,2.0,,,,,,1.0,24
,,,1223,TRUJILLO M E,11.0,5.0,2.0,3.0,1.0,,,,,,2.0,24
,,,3540,KOMPANEYETS M,10.0,5.0,4.0,,,,,,,,2.0,21
,,,4019,KOMPANEYETS M,8.0,5.0,1.0,2.0,1.0,1.0,,,,,2.0,20
,,ART    21B,1224,TRUJILLO M E,10.0,2.0,2.0,,1.0,,,,,,4.0,19
,,ART    30A,1225,AARONS R R,4.0,3.0,,,3.0,1.0,,,,,10.0,21
,,,1226,SHIBATA J M,10.0,10.0,,,1.0,,,,,,4.0,25
,,,3541,AARONS R R,9.0,2.0,1.0,,1.0,,,,,,7.0,20
,,ART    30B,1227,AARONS R R,3.0,1.0,,,,,,,,,1.0,5
,,,3542,AARONS R R,3.0,1.0,,,,,,,,,,4
,,ART    30C,1228,OTA N T,6.0,3.0,1.0,,,1.0,,,,,4.0,15
,,ART    31,1229,HATTON C,8.0,1.0,,,2.0,,,,,,4.0,15
,,,1230,TRUJILLO M E,14.0,4.0,3.0,,5.0,,,1.0,,,1.0,28
,,,1231,ZARCONE J,6.0,1.0,,,,,,,,,6.0,13
,,ART    32,1232,HATTON C,8.0,,2.0,,,,,,,,,10
,,,1233,ZARCONE J,1.0,,1.0,1.0,,1.0,,,,,3.0,7
,,ART    34A,1234,BADGER C P,15.0,2.0,,,4.0,,,,,,5.0,26
,,ART    40A,1235,BROMBERG T L,10.0,3.0,1.0,,,,,,,,3.0,17
,,,1236,PITURRO D,5.0,4.0,1.0,,,,,,,,5.0,15
,,,3533,SILVER E M,13.0,,,,,1.0,,,,,4.0,18
,,ART    40B,1237,BROMBERG T L,4.0,1.0,,,,,,,,,,5
,,,1238,PITURRO D,2.0,1.0,,,,,,,,,2.0,5
,,ART    40C,1239,PITURRO D,,,,1.0,,,,,,,,1
,,,3535,SILVER E M,1.0,,,,,,,,,,,1
,,ART    52A,1242,GONZALES L,16.0,,,,1.0,1.0,,,,,3.0,21
,,,1243,GONZALES L,13.0,3.0,3.0,,1.0,,,,,,,20
,,,3532,SILVER E M,14.0,1.0,,,2.0,2.0,,,,,3.0,22
,,,3666,FRANTZ R,8.0,5.0,,,6.0,,,,,,5.0,24
,,ART    60,1244,THOMASON M M,7.0,5.0,,,1.0,,,,,,1.0,14
,,ART    74,1245,BADGER C P,8.0,1.0,,,1.0,,1.0,,,,8.0,19
,,ART    75,1246,PITURRO D,6.0,,1.0,,,,,,,,2.0,9
,ARTS,ARTS   88A,1247,MEYER W J,3.0,1.0,,,,,,1.0,,,,5
,PHOTO,PHOTO  52,3198,DASTIN E R,21.0,7.0,2.0,,3.0,,,,,,4.0,37
,,,3199,DASTIN E R,13.0,5.0,1.0,,5.0,,1.0,,,,3.0,28
Business,ACCTG,ACCTG   1,1001,KNIGHT R B,14.0,6.0,1.0,,1.0,,,,,1.0,19.0,42
,,,1002,PLATZ W A,11.0,11.0,4.0,1.0,9.0,,,,,,4.0,40
,,,1003,BROOKINS G T,6.0,12.0,5.0,3.0,6.0,,,,,,12.0,44
,,,1004,LOPEZ EN,23.0,5.0,3.0,1.0,3.0,1.0,,,,,5.0,41
,,,1005,TRIPPETTI V J,11.0,9.0,6.0,1.0,6.0,,,,,,8.0,41
,,,1006,RUBIO C,6.0,4.0,4.0,1.0,2.0,,,,,1.0,13.0,31
,,,1007,LOPEZ EN,19.0,9.0,2.0,5.0,4.0,,,,,,7.0,46
,,,1008,PLATZ W A,17.0,10.0,4.0,2.0,2.0,,,,,,6.0,41
,,,1009,MAIER L S,10.0,8.0,3.0,2.0,4.0,,1.0,,,,12.0,40
,,,1010,MAIER L S,15.0,9.0,2.0,1.0,5.0,,,,,,6.0,38
,,,1011,BROOKINS G T,13.0,9.0,2.0,2.0,1.0,,,,,,5.0,32
,,,1012,BROOKINS G T,6.0,11.0,4.0,2.0,2.0,,,,,,8.0,33
,,,1013,FITZGERALD R L,9.0,5.0,4.0,2.0,3.0,,,,,,14.0,37
,,,1014,FITZGERALD R L,6.0,6.0,4.0,,5.0,,,,,,12.0,33
,,,1015,HAIG J S,17.0,8.0,3.0,3.0,4.0,,,,,,5.0,40
,,,1016,HAIG J S,7.0,8.0,3.0,2.0,3.0,,,,,,8.0,31
,,,1017,ANDRE J M,10.0,9.0,3.0,3.0,3.0,,,,,,12.0,40
,,,4001,KNIGHT R B,6.0,7.0,5.0,,1.0,,,,,,20.0,39
,,ACCTG   2,1019,BROOKINS G T,16.0,7.0,4.0,2.0,,,1.0,,,,4.0,34
,,,1021,TRIPPETTI V J,23.0,7.0,8.0,,1.0,,,,,,1.0,40
,,,1022,LU M,11.0,13.0,3.0,2.0,1.0,1.0,,,,,,31
,,,1023,STEINBERGER E K,25.0,7.0,1.0,,4.0,,,,,,1.0,38
,,,1024,STEINBERGER E K,19.0,7.0,1.0,,1.0,,,,,,3.0,31
,,,1025,HUANG AI M,34.0,6.0,1.0,,1.0,,,,,,,42
,,,1026,HUANG AI M,31.0,5.0,,1.0,1.0,,,,,,1.0,39
,,,1027,HUANG AI M,31.0,4.0,,1.0,1.0,,,,,,2.0,39
,,,1028,KIM J S,11.0,9.0,2.0,,1.0,,,,,,3.0,26
,,,1029,DANIEL C,5.0,5.0,2.0,2.0,3.0,,,,,,4.0,21
,,ACCTG   6,1031,HANSON M P,11.0,2.0,1.0,,1.0,,1.0,,,,,16
,,ACCTG   7,1032,HANSON M P,8.0,4.0,1.0,,1.0,1.0,,,,,4.0,19
,,ACCTG   9,1033,HUANG AI M,17.0,6.0,3.0,1.0,,,,,,,1.0,28
,,,1034,KIM J S,18.0,2.0,3.0,1.0,,1.0,,,,,3.0,28
,,,1035,HUANG AI M,12.0,3.0,5.0,,1.0,1.0,,,,,5.0,27
,,ACCTG  10A,1036,LU M,16.0,8.0,1.0,,,,,,,,1.0,26
,,,1038,LU M,4.0,5.0,,,5.0,,,,,,3.0,17
,,ACCTG  10B,1039,LU M,12.0,6.0,1.0,,,,,,,,2.0,21
,,,1040,LU M,17.0,3.0,2.0,1.0,2.0,,,1.0,,,2.0,28
,,ACCTG  10C,1041,HANSON M P,11.0,8.0,1.0,,,,,,,,5.0,25
,,ACCTG  11,1042,CARBALLO P S,8.0,4.0,2.0,1.0,1.0,,,,,,5.0,21
,,ACCTG  12,1043,STEINBERGER E K,13.0,6.0,1.0,,,,,,,,4.0,24
,,,1044,STEINBERGER E K,20.0,3.0,3.0,,,1.0,,,,,2.0,29
,,ACCTG  15,1045,RUBIO C,8.0,9.0,4.0,,,1.0,,,,,8.0,30
,,,3579,RUBIO C,4.0,8.0,4.0,1.0,2.0,,,,,,10.0,29
,,ACCTG  16,1046,RUBIO C,2.0,14.0,5.0,1.0,2.0,,,,,,6.0,30
,,ACCTG  17,4002,RUBIO C,3.0,4.0,1.0,,1.0,1.0,,,,,4.0,14
,,ACCTG  21,1047,RESNICK W J,20.0,4.0,2.0,2.0,1.0,,,,,1.0,3.0,33
,,,1048,RESNICK W J,25.0,1.0,7.0,1.0,,,,,,,1.0,35
,,,1049,RESNICK W J,22.0,6.0,3.0,1.0,1.0,,,,,,5.0,38
,,ACCTG  22,1050,LOPEZ EN,5.0,7.0,5.0,,4.0,,,,,,4.0,25
,,ACCTG  23,1051,LOPEZ EN,15.0,5.0,5.0,,3.0,2.0,,,,,6.0,36
,,ACCTG  31A,1052,VALDIVIA O,18.0,6.0,,3.0,1.0,2.0,,,,,7.0,37
,,ACCTG  31B,1053,VALDIVIA O,15.0,5.0,2.0,,2.0,1.0,,,,,5.0,30
,,ACCTG  45,1054,MACIAS J F,,,2.0,,2.0,,,,,,2.0,6
,,,1055,LAMARRA F,7.0,1.0,,1.0,,1.0,,,,,2.0,12
,,,1056,RESNICK W J,9.0,4.0,2.0,,,,,,,,2.0,17
,,,1057,RESNICK W J,7.0,2.0,,,,,,,,,1.0,10
,,,1058,RESNICK W J,5.0,1.0,,,,,,,,,,6
,,,1059,ARAKELIAN A,15.0,,1.0,,2.0,,,,,,,18
,,,1060,ARAKELIAN A,4.0,2.0,2.0,,1.0,,,,,,3.0,12
,,,1061,ARAKELIAN A,8.0,,1.0,1.0,2.0,,,,,,1.0,13
,AD JUS,AD JUS  1,1062,KHALIL N,4.0,8.0,12.0,2.0,2.0,,,,,,10.0,38
,,,1063,KHALIL N,6.0,10.0,11.0,2.0,,,,,,,7.0,36
,,,1064,JUNGHAHN L A,8.0,11.0,4.0,3.0,6.0,,,,,1.0,3.0,36
,,,1065,ROBERTS C E,8.0,6.0,13.0,,8.0,,,,,,3.0,38
,,,1066,ROBERTS C E,4.0,8.0,5.0,1.0,10.0,,,,,,1.0,29
,,,4003,POLIN M W,19.0,3.0,6.0,,14.0,,,,,,1.0,43
,,AD JUS  2,1067,JUNGHAHN L A,8.0,9.0,6.0,,6.0,1.0,,,,,2.0,32
,,,4004,DARDEN C A,12.0,5.0,,1.0,9.0,,,,,1.0,10.0,38
,,AD JUS  3,1068,SMITH DEBORAH R,8.0,11.0,6.0,3.0,11.0,,,,,1.0,3.0,43
,,AD JUS  5,4005,DARDEN C A,20.0,10.0,,,6.0,,,,,,3.0,39
,,AD JUS  8,1069,SMITH DEBORAH R,11.0,4.0,1.0,1.0,10.0,,,,,,3.0,30
,,AD JUS 11,1070,GAU C K,8.0,16.0,6.0,,3.0,,,,,2.0,8.0,43
,,AD JUS 67,1071,GAU C K,4.0,3.0,3.0,,1.0,,,,,1.0,1.0,13
,AUTO,AUTO   40,4020,OATES S M,6.0,7.0,4.0,,,1.0,,5.0,,,1.0,24
,,AUTO   45,4021,OATES S M,7.0,4.0,3.0,2.0,2.0,,,,,,2.0,20
,BUS,BUS     1,1325,MIKOLAJCZAK M,14.0,9.0,3.0,2.0,,,,,,,7.0,35
,,,1326,ROPER-CONLEY C,7.0,3.0,7.0,6.0,12.0,,,,,,5.0,40
,,,1327,RODRIGUEZ K P,18.0,1.0,3.0,2.0,15.0,,,,,,3.0,42
,,,1328,EVERETT K M,24.0,3.0,3.0,1.0,12.0,,,,,,1.0,44
,,,1330,KELLY MARCELLA A,18.0,12.0,1.0,,9.0,,,,,,1.0,41
,,,1331,ROPER-CONLEY C,8.0,4.0,4.0,3.0,18.0,,,,,,8.0,45
,,,1332,MACIAS J F,23.0,3.0,7.0,,4.0,,,,,,5.0,42
,,,1333,ROPER-CONLEY C,4.0,5.0,5.0,3.0,11.0,,2.0,1.0,,,4.0,35
,,,1334,PAIK R,8.0,6.0,3.0,2.0,9.0,,,,,,6.0,34
,,,1335,PAIK R,11.0,4.0,1.0,3.0,9.0,,,,,,9.0,37
,,,1336,SEDKY S M,23.0,6.0,5.0,2.0,1.0,,,,,,,37
,,,1337,SEDKY S M,15.0,4.0,3.0,1.0,9.0,,,,,,1.0,33
,,,1338,SEDKY S M,22.0,8.0,4.0,1.0,3.0,1.0,,,,,2.0,41
,,,1339,SHISHIDO K M,13.0,5.0,6.0,1.0,8.0,,,,,,2.0,35
,,,1340,SHISHIDO K M,10.0,5.0,5.0,2.0,8.0,,,,,,6.0,36
,,,1341,SENKO E A,22.0,7.0,1.0,1.0,5.0,1.0,,,,,8.0,45
,,,1342,EVERETT K M,18.0,2.0,2.0,2.0,6.0,1.0,,,,,15.0,46
,,,1343,RODRIGUEZ K P,8.0,2.0,1.0,3.0,12.0,,1.0,,,,4.0,31
,,,1344,VEAS S,37.0,5.0,,,,,,,,,4.0,46
,,,1345,VEAS S,40.0,3.0,2.0,1.0,1.0,,,,,,2.0,49
,,,1346,VEAS S,33.0,4.0,1.0,1.0,2.0,,,,,1.0,3.0,45
,,,3682,VEAS S,25.0,2.0,1.0,1.0,9.0,,,,,,5.0,43
,,,4028,OLIVERI J S,15.0,1.0,7.0,1.0,9.0,,,,,,7.0,40
,,,4029,KELLY MARCELLA A,14.0,4.0,2.0,1.0,11.0,1.0,,,,,5.0,38
,,,4030,OLIVERI J S,15.0,4.0,1.0,,10.0,,,,,,2.0,32
,,BUS     5,1347,RADOS-CLOKE A,4.0,11.0,5.0,5.0,3.0,,,,,,13.0,41
,,,1348,RADOS-CLOKE A,16.0,7.0,9.0,1.0,2.0,,,,,,6.0,41
,,,1349,RADOS-CLOKE A,8.0,7.0,15.0,1.0,2.0,,,,,,7.0,40
,,,1350,NASSER D M,14.0,13.0,7.0,1.0,2.0,,,,,,3.0,40
,,,1351,KLUGMAN E B,2.0,13.0,7.0,3.0,7.0,1.0,,,,,8.0,41
,,,1352,KLUGMAN E B,2.0,4.0,2.0,3.0,3.0,,,,,,5.0,19
,,,1354,NASSER D M,14.0,12.0,3.0,3.0,3.0,,,,,,5.0,40
,,,1355,NASSER D M,16.0,13.0,1.0,3.0,1.0,,,,,,3.0,37
,,,1357,KLUGMAN E B,3.0,8.0,5.0,2.0,6.0,,,,,,7.0,31
