Department,Discipline,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,SP,W,EW,TotalCount
Art,AHIS,AHIS 1,1072,MIHAYLOVICH K W,24.0,2.0,7.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,45
Art,AHIS,AHIS 1,1073,MENDOZA B,28.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,44
Art,AHIS,AHIS 1,1074,MEDVEDEV N,34.0,8.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,53
Art,AHIS,AHIS 1,1075,SIMMONS B B,32.0,2.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,42
Art,AHIS,AHIS 1,1076,SIMMONS B B,29.0,4.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,45
Art,AHIS,AHIS 1,1077,HESSER M,14.0,7.0,2.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,41
Art,AHIS,AHIS 1,1078,LEAPER L E,7.0,11.0,3.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,7.0,40
Art,AHIS,AHIS 1,1079,WASHINGTON T L,19.0,7.0,6.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,3.0,45
Art,AHIS,AHIS 1,1080,BLACKWOOD K,18.0,6.0,6.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,41
Art,AHIS,AHIS 1,1081,MEYER W J,51.0,5.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,13.0,84
Art,AHIS,AHIS 1,1082,MEYER W J,54.0,6.0,0.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,6.0,82
Art,AHIS,AHIS 1,1083,LEZO A L,28.0,0.0,1.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,6.0,43
Art,AHIS,AHIS 1,1084,MENDOZA B,30.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,42
Art,AHIS,AHIS 1,1085,MAJSTOROVIC M,29.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,38
Art,AHIS,AHIS 1,1086,GREINER KA,8.0,4.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,9.0,39
Art,AHIS,AHIS 1,1087,MAJSTOROVIC M,30.0,4.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,42
Art,AHIS,AHIS 1,3663,BLACKWOOD K,10.0,6.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,30
Art,AHIS,AHIS 1,3701,WASHINGTON T L,15.0,7.0,2.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,9.0,44
Art,AHIS,AHIS 1,3710,MEDVEDEV N,22.0,4.0,3.0,0.0,12.0,1.0,1.0,0.0,0.0,0.0,1.0,44
Art,AHIS,AHIS 2,1088,MIHAYLOVICH K W,14.0,5.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,30
Art,AHIS,AHIS 2,1089,MEDVEDEV N,27.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,45
Art,AHIS,AHIS 2,1090,DONAHUE N J,35.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,44
Art,AHIS,AHIS 2,1091,WACKS D E,6.0,11.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,33
Art,AHIS,AHIS 2,1092,DONAHUE N J,31.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,42
Art,AHIS,AHIS 2,1094,MEYER W J,17.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,25
Art,AHIS,AHIS 2,1095,DONAHUE N J,21.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,37
Art,AHIS,AHIS 2,3675,DONAHUE N J,29.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,39
Art,AHIS,AHIS 2,3702,MAJSTOROVIC M,20.0,5.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,39
Art,AHIS,AHIS 3,1098,DONAHUE N J,36.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,45
Art,AHIS,AHIS 3,1099,DONAHUE N J,32.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,43
Art,AHIS,AHIS 5,1100,SIMMONS B B,22.0,5.0,2.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,4.0,48
Art,AHIS,AHIS 5,3586,SIMMONS B B,24.0,4.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,47
Art,AHIS,AHIS 6,1103,RODRIGUEZ K,15.0,5.0,4.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,41
