Department,Discipline,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,RD,SP,W,EW,TotalCount
Art,AHIS,AHIS    1,1073,MAJSTOROVIC M,32,7,,5,11,,,,,,7,,62
,,,1074,SIMMONS B B,21,8,1,1,9,,,,,,3,,43
,,,1075,MENDOZA B,24,7,1,2,3,,,,,,3,,40
,,,1076,MEDVEDEV N,25,7,3,,3,,,,,,6,,44
,,,1077,SIMMONS B B,34,,4,,3,2,,,,,2,,45
,,,1078,GREINER KA,17,4,2,,8,,2,,,,8,,41
,,,1079,MIHAYLOVICH K W,20,10,3,2,3,,,,,,4,,42
,,,1080,MIHAYLOVICH K W,26,7,2,1,1,,,,,,2,,39
,,,1081,SIMMONS B B,28,1,3,,9,1,,,,,2,,44
,,,1082,MENDOZA B,34,2,1,,1,,,,,,2,,40
,,,1083,BLACKWOOD K,18,5,7,1,7,,,1,,,2,,41
,,,1084,MEYER W J,42,2,1,,3,,,,,,2,,50
,,,1085,MEYER W J,30,1,2,1,5,,2,1,,,2,,44
,,,3484,RODRIGUEZ K,24,5,,,4,1,1,,,,5,,40
,,,3485,RODRIGUEZ K,15,5,3,,12,,1,,,,2,,38
,,,3507,BLACKWOOD K,7,10,8,,3,,1,,,,8,,37
,,AHIS    2,1086,DONAHUE N J,15,4,1,,4,,,,,,1,,25
,,,1087,MEDVEDEV N,8,2,2,1,,,,,,,3,,16
,,,1088,MAJSTOROVIC M,39,1,1,,1,,,,,,2,,44
,,,1089,WASHINGTON T L,21,8,2,1,6,1,,1,,,2,,42
,,,1090,DONAHUE N J,34,5,1,2,1,,,,,,,,43
,,,3433,DONAHUE N J,25,4,2,3,1,,1,,,,3,,39
,,,3486,MEYER W J,50,9,3,2,15,2,2,1,,,7,,91
,,,3487,MEYER W J,14,,2,2,7,,,,,,3,,28
,,AHIS    3,1091,DONAHUE N J,18,,,,3,,,,,,1,,22
,,,1092,DONAHUE N J,40,1,1,,1,,,,,,2,,45
,,,3373,DONAHUE N J,34,1,,1,1,,,,,,4,,41
,,AHIS    5,1093,SIMMONS B B,10,1,1,,4,,,,,,,,16
,,,1094,SIMMONS B B,26,4,2,1,8,,1,,,,5,,47
,,,3340,LEAPER L E,11,9,3,,10,,1,,,,7,,41
,,AHIS    6,1096,RODRIGUEZ K,26,3,3,,6,1,,,,,2,,41
,,AHIS   11,1097,RODRIGUEZ K,32,4,3,,3,,1,,,,,,43
,,,1098,RODRIGUEZ K,27,8,3,2,3,,,,,,3,,46
,,,1099,AHMADPOUR A,6,1,1,,4,,,1,,,1,,14

,,AHIS   17,1100,WACKS D E,14,6,1,,2,1,,,,,1,,25
,,,1101,LEE O,14,8,2,1,8,,,,,,3,,36
,,AHIS   18,1102,SIMMONS B B,12,2,,1,7,,,,,,4,,26
,,,1103,SIMMONS B B,28,4,2,,7,,,,,,3,,44
,,,3343,LEZO A L,33,2,,,1,,,,,,2,,38
,,AHIS   21,1104,ROCCHIO M P,27,4,1,,7,,,,,,5,,44
,,,3488,GREINER KA,14,,3,,8,,,,,,6,,31
,,AHIS   22,1105,ROCCHIO M P,29,7,,,6,,,,,,3,,45
,,,3341,ROCCHIO M P,16,7,2,,9,,,1,,,5,,40
,,AHIS   52,1106,DASTIN E R,3,1,,,,,,,,,1,,5
,,,3342,HIRUGAMI E,21,1,2,2,3,1,,,,,4,,34
,,,3489,HIRUGAMI E,22,,2,3,1,1,1,,,,5,,35
,,AHIS   72,1108,RODRIGUEZ K,22,9,1,,8,,,,,,3,,43
,ART,ART    10A,1176,ARUTIAN C L,4,5,3,,3,,,,,,4,,19
,,,1177,BADGER C P,13,4,,,9,,,,,,1,,27
,,,1178,SHIBATA J M,14,8,1,,1,,,,,,3,,27
,,,1179,HUERTA R B,9,4,3,1,,,,,,,2,,19
,,,1181,MITCHELL R,9,2,1,,1,,,6,,,9,,28
,,,1182,KARLSEN A M,12,2,2,,4,,,,,,6,,26
,,,1183,KARLSEN A M,13,,1,1,7,,,,,,5,,27
,,,1184,KARLSEN A M,11,1,1,,6,,1,,,,4,,24
,,,3292,MITCHELL R,9,4,1,,1,1,,3,,,7,,26
,,,3385,MIYANO E,8,10,1,1,2,1,,,,,5,,28
,,,3490,HUERTA R B,6,,1,,7,1,,,,,8,,23
,,,3491,DE ANDA III I,11,5,3,,2,,,,,,4,,25
,,,3505,ARUTIAN C L,2,3,2,,,,,,,,7,,14
,,ART    10B,1185,MIYANO E,10,7,,,,,1,,,,3,,21
,,,1186,BADGER C P,20,4,1,,3,,,,,,1,,29
,,,1187,BADGER C P,16,2,2,,4,1,,,,,2,,27
,,,3378,WHEAT N R,10,2,2,3,3,,1,,,,4,,25
,,ART    10C,1188,BADGER C P,21,,1,,6,,,,,,1,,29
,,ART    13,1190,SILVER E M,10,1,,,,1,,,,,,,12
,,,1191,SILVER E M,16,1,,,1,,,,,,,,18
,,,1192,BROMBERG T L,22,5,1,1,,,,,,,1,,30

,,,1193,GARCIA K F,18,1,,,1,,,,,,2,,22
,,,3375,GARCIA K F,16,1,1,,5,,,,,,5,,28
,,ART    17A,1194,JOLLER G,10,1,,,3,1,,,,,,,15
,,ART    17B,1195,JOLLER G,9,,,,,,,,,,,,9
,,ART    20A,1196,BURCHMAN J H,11,,,,1,,,,,,4,,16
,,,1197,HATTON C,8,,1,1,1,,1,,,,5,,17
,,,1198,ZARCONE J,1,3,1,2,,,,,,,5,,12
,,,1199,BURCHMAN J H,11,1,3,,2,,,,,,3,,20
,,,1200,VICICH G M,9,1,4,,,,,,,,1,,15
,,,1201,OTA N T,11,3,1,,1,,2,,,,1,,19
,,,1202,HATTON C,14,7,1,1,4,,,,,,2,,29
,,,1203,VICICH G M,7,2,1,,2,3,,,,,10,,25
,,,1204,KOMPANEYETS M,7,5,2,1,3,,,,,,3,,21
,,,1205,HATTON C,11,4,3,,6,,,,,,3,,27
,,,3452,WHEAT N R,13,3,,3,2,,1,,,,5,,27
,,,3492,MACKAY A C,11,3,1,,6,,,,,,5,,26
,,,3506,DE ANDA III I,8,1,1,,4,,,,,,8,,22
,,,4018,MAMMARELLA C J,6,4,,2,2,2,,,,,4,,20
,,ART    20B,1207,HATTON C,8,2,2,,3,2,2,,,,5,,24
,,,1208,KARLSEN A M,17,4,,,4,,,,,,2,,27
,,,3453,CHOW P,12,1,1,1,8,,,,,,3,,26
,,,4020,MAMMARELLA C J,6,5,1,,3,,,,,,5,,20
,,ART    21A,1209,TRUJILLO M E,14,3,1,1,1,,1,,,,2,,23
,,,1210,TRUJILLO M E,18,2,,,1,,,,,,2,,23
,,,1211,TRUJILLO M E,13,5,,,4,1,1,,,,3,,27
,,,3325,KOMPANEYETS M,15,4,4,,,1,,,,,3,,27
,,ART    30A,1212,SHIBATA J M,13,2,,,3,,,,,,6,,24
,,,1213,AARONS R R,20,2,,,3,,,,,,,,25
,,,3379,AARONS R R,11,6,,,2,,1,,,,4,,24
